study_id,study_code,study_name,is_synthetic,type,method,parameter_count,duration_minutes,sample_type,requires_special_processing,normal_price
1,GLU-001,GLUCOSA,False,study,sin_metodo,0,60,unknown,,110.0
2,BH01,BIOMETRIA HEMATICA,False,study,AUTOMATIZADO,0,30,unknown,,180.0
3,QS06,QUIMICA SANGUINEA 6 ELEMENTOS,False,study,ESPECTROFOTOMETRIA,0,45,unknown,,220.0
4,QS12,QUIMICA SANGUINEA 12 ELEMENTOS,False,study,ESPECTROFOTOMETRIA,0,60,unknown,,350.0
5,GLU01,GLUCOSA,False,study,ENZIMATICO,0,15,unknown,,80.0
6,HBA1C,Hemoglobina glucosilada HbA1c,False,study,Inmunoturbidimetría,0,90,unknown,,280.0
7,COL01,COLESTEROL TOTAL,False,study,ENZIMATICO,0,20,unknown,,90.0
8,TRI01,TRIGLICERIDOS,False,study,ENZIMATICO,0,20,unknown,,90.0
9,PL01,PERFIL LIPIDICO,False,study,ENZIMATICO,0,40,unknown,,260.0
10,EGO01,EXAMEN GENERAL DE ORINA,False,study,MICROSCOPIA,0,25,unknown,,120.0
11,UROC01,UROCULTIVO,False,study,CULTIVO,0,48,unknown,,280.0
12,CREA01,CREATININA,False,study,ENZIMATICO,0,15,unknown,,85.0
13,UREA01,UREA,False,study,ENZIMATICO,0,15,unknown,,85.0
14,AU01,ACIDO URICO,False,study,ENZIMATICO,0,15,unknown,,85.0
15,HCG01,PRUEBA DE EMBARAZO,False,study,INMUNOENSAYO,0,15,unknown,,120.0
16,TSH01,TSH,False,study,INMUNOENSAYO,0,30,unknown,,220.0
17,T301,T3,False,study,INMUNOENSAYO,0,30,unknown,,200.0
18,T401,T4,False,study,INMUNOENSAYO,0,30,unknown,,200.0
19,PT01,PROTEINAS TOTALES,False,study,COLORIMETRIA,0,20,unknown,,90.0
20,ALB01,ALBUMINA,False,study,COLORIMETRIA,0,20,unknown,,90.0
21,BILI01,BILIRRUBINA TOTAL,False,study,COLORIMETRIA,0,20,unknown,,100.0
22,TGO01,TGO,False,study,ENZIMATICO,0,20,unknown,,110.0
23,TGP01,TGP,False,study,ENZIMATICO,0,20,unknown,,110.0
29,PCR01,PCR,False,study,INMUNOENSAYO,0,25,unknown,,150.0
30,VDRL01,VDRL,False,study,AGLUTINACION,0,25,unknown,,160.0
31,VIH01,VIH,False,study,ELISA,0,30,unknown,,320.0
32,GLU-PP01,Glucosa posprandial,False,study,Enzimático colorimétrico,0,60,serum,False,110.0
33,INS-AY01,Insulina sérica en ayuno,False,study,Quimioluminiscencia,0,120,serum,False,390.0
35,QS003,Química sanguínea de 3 elementos,False,study,Espectrofotometría,3,60,serum,False,190.0
36,DDIM01,Dímero D cuantitativo,False,study,Inmunoturbidimetría,0,120,plasma,True,420.0
37,EXFAR01,Cultivo de exudado faríngeo,False,study,Cultivo microbiológico,0,2880,swab,True,360.0
38,COVPCR01,Detección de SARS-CoV-2 por RT-PCR,False,study,RT-PCR,0,1440,swab,True,950.0
39,BH001,Biometría hemática completa,False,study,Citometría / hematología automatizada,0,60,unknown,,180.0
40,QS006,Química sanguínea de 6 elementos,False,study,Espectrofotometría,0,60,unknown,,260.0
41,QS012,Química sanguínea de 12 elementos,False,study,Espectrofotometría,0,90,unknown,,420.0
42,GLU001,Glucosa en sangre,False,study,Enzimático colorimétrico,0,45,unknown,,80.0
44,PL001,Perfil lipídico,False,study,Espectrofotometría,0,60,unknown,,250.0
45,EGO001,Examen general de orina,False,study,Tira reactiva y microscopía,0,45,unknown,,120.0
46,UROCUL,Urocultivo,False,study,Cultivo microbiológico,0,2880,unknown,,380.0
47,HCG001,Prueba de embarazo en sangre,False,study,Inmunoensayo,0,60,unknown,,180.0
48,PH001,Perfil hepático,False,study,Espectrofotometría,0,90,unknown,,390.0
49,PT001,Perfil tiroideo T3 T4 TSH,False,study,Quimioluminiscencia,0,120,unknown,,520.0
50,PSA001,Antígeno prostático específico PSA,False,study,Quimioluminiscencia,0,120,unknown,,360.0
51,GRH001,Grupo sanguíneo y factor RH,False,study,Hemaglutinación,0,45,unknown,,130.0
52,COP001,Coprológico general,False,study,Microscopía,0,60,unknown,,140.0
53,RF001,Reacciones febriles,False,study,Aglutinación,0,90,unknown,,220.0
54,TP001,Tiempo de protrombina TP,False,study,Coagulometría,0,60,unknown,,180.0
55,TPT001,Tiempo parcial de tromboplastina TPT,False,study,Coagulometría,0,60,unknown,,180.0
59,ECN-CAT-QC-001,Determinación de Glucosa,True,study,ENZIMÁTICO,8,60,serum,False,310.0
60,ECN-CAT-HEM-001,Determinación de Biometría hemática,True,study,IMPEDANCIA,15,105,blood,False,500.0
61,ECN-CAT-INM-001,Determinación de Proteína C reactiva,True,study,INMUNOENSAYO,22,165,serum,False,690.0
62,ECN-CAT-MIC-001,Determinación de Urocultivo,True,study,CULTIVO,29,855,urine,True,940.0
