order_id,source_folio,is_synthetic,source_created_at,source_updated_at,promised_lead_hours,registration_hour,registration_weekday,item_count,total_quantity,distinct_study_count,package_component_count,subtotal_amount,courtesy_percent,discount_amount,total_amount,branch_name,dominant_price_type,outcome
663,ECO-ML-000137,True,2025-11-01T14:07:00.000Z,2025-11-01T16:07:00.000Z,20.0,8.116666666666665,6,6,6,6,0,3683.5,5.0,184.18,3499.32,SUCURSAL SUR,special,cancelled
903,ECO-ML-000377,True,2025-11-01T14:07:00.000Z,2025-11-04T01:13:00.000Z,60.0,8.116666666666665,6,6,6,6,0,3936.0,5.0,196.8,3739.2,SUCURSAL SUR,special,completed_on_time
1027,ECO-ML-000501,True,2025-11-02T00:00:00.000Z,2025-11-04T07:00:00.000Z,56.0,0.0,0,5,5,5,1,3661.0,0.0,0.0,3661.0,Matriz,normal,completed_on_time
1028,ECO-ML-000502,True,2025-11-02T04:34:10.000Z,2025-11-04T23:34:10.000Z,64.0,4.5667,0,5,5,5,0,3459.5,15.0,518.92,2940.58,SUCURSAL CENTRO,special,delayed
1029,ECO-ML-000503,True,2025-11-02T09:08:19.000Z,2025-11-05T03:08:19.000Z,69.0,9.1333,0,4,4,4,0,2419.0,20.0,483.8,1935.2,SUCURSAL CENTRO,special,completed_on_time
1030,ECO-ML-000504,True,2025-11-02T13:42:29.000Z,2025-11-02T18:42:29.000Z,19.0,13.7,0,6,6,6,0,3683.5,5.0,184.18,3499.32,Matriz,normal,cancelled
560,ECO-ML-000034,True,2025-11-02T15:14:00.000Z,2025-11-05T13:47:00.000Z,57.0,9.23333333333333,0,5,5,5,0,3369.5,10.0,336.95,3032.55,SUCURSAL SUR,dif,delayed
800,ECO-ML-000274,True,2025-11-02T15:14:00.000Z,2025-11-04T11:46:00.000Z,32.0,9.23333333333333,0,5,5,5,0,2711.5,10.0,271.15,2440.35,SUCURSAL NORTE,dif,delayed
1031,ECO-ML-000505,True,2025-11-02T17:39:39.000Z,2025-11-04T09:39:39.000Z,45.0,17.65,0,3,3,3,0,1727.0,0.0,0.0,1727.0,SUCURSAL SUR,other,completed_on_time
1032,ECO-ML-000506,True,2025-11-02T22:13:48.000Z,2025-11-05T00:13:48.000Z,43.0,22.2167,0,5,5,5,0,2576.5,15.0,386.48,2190.02,Matriz - Centro,dif,delayed
1033,ECO-ML-000507,True,2025-11-03T02:47:58.000Z,2025-11-05T04:47:58.000Z,51.0,2.7833,1,2,2,2,0,985.0,10.0,98.5,886.5,Matriz - Centro,dif,completed_on_time
1034,ECO-ML-000508,True,2025-11-03T06:45:08.000Z,2025-11-04T08:45:08.000Z,28.0,6.75,1,2,2,2,0,950.0,15.0,142.5,807.5,SUCURSAL CENTRO,special,completed_on_time
1035,ECO-ML-000509,True,2025-11-03T11:19:17.000Z,2025-11-06T00:19:17.000Z,51.0,11.3167,1,4,5,3,0,2173.0,15.0,325.95,1847.05,SUCURSAL SUR,other,delayed
1036,ECO-ML-000510,True,2025-11-03T15:53:27.000Z,2025-11-04T16:53:27.000Z,29.0,15.8833,1,1,1,1,0,171.0,10.0,17.1,153.9,SUCURSAL SUR,other,completed_on_time
697,ECO-ML-000171,True,2025-11-03T16:21:00.000Z,2025-11-06T11:00:00.000Z,69.0,10.35,1,4,4,4,0,2509.0,15.0,376.35,2132.65,SUCURSAL CENTRO,dif,completed_on_time
937,ECO-ML-000411,True,2025-11-03T16:21:00.000Z,2025-11-05T17:59:00.000Z,44.0,10.35,1,4,4,4,0,2173.0,15.0,325.95,1847.05,Matriz - Centro,dif,delayed
1037,ECO-ML-000511,True,2025-11-03T20:27:36.000Z,2025-11-06T04:27:36.000Z,61.0,20.45,1,1,1,1,0,99.0,15.0,14.85,84.15,Matriz,normal,completed_on_time
1038,ECO-ML-000512,True,2025-11-04T00:24:46.000Z,2025-11-05T15:24:46.000Z,26.0,0.4,2,3,3,3,0,1576.0,0.0,0.0,1576.0,SUCURSAL CENTRO,special,delayed
1039,ECO-ML-000513,True,2025-11-04T04:58:56.000Z,2025-11-06T04:58:56.000Z,49.0,4.9667,2,5,5,5,0,3528.5,0.0,0.0,3528.5,SUCURSAL CENTRO,special,completed_on_time
1040,ECO-ML-000514,True,2025-11-04T09:33:05.000Z,2025-11-06T07:33:05.000Z,48.0,9.55,2,4,4,4,0,3037.0,5.0,151.85,2885.15,SUCURSAL NORTE,hospital,completed_on_time
1041,ECO-ML-000515,True,2025-11-04T13:30:15.000Z,2025-11-05T05:30:15.000Z,38.0,13.5,2,6,6,6,0,2534.0,10.0,253.4,2280.6,Matriz - Centro,dif,cancelled
594,ECO-ML-000068,True,2025-11-04T17:28:00.000Z,2025-11-06T06:33:00.000Z,41.0,11.466666666666669,2,3,3,3,0,1727.0,0.0,0.0,1727.0,Matriz - Centro,dif,completed_on_time
834,ECO-ML-000308,True,2025-11-04T17:28:00.000Z,2025-11-06T09:13:00.000Z,16.0,11.466666666666669,2,3,3,3,0,1441.0,0.0,0.0,1441.0,Matriz,dif,delayed
1042,ECO-ML-000516,True,2025-11-04T18:04:25.000Z,2025-11-06T06:04:25.000Z,19.0,18.0667,2,6,6,6,0,3600.0,10.0,360.0,3240.0,Matriz - Centro,dif,delayed
1043,ECO-ML-000517,True,2025-11-04T22:38:34.000Z,2025-11-05T12:38:34.000Z,19.0,22.6333,2,4,4,4,0,2794.0,0.0,0.0,2794.0,Matriz - Centro,dif,completed_on_time
1044,ECO-ML-000518,True,2025-11-05T02:35:44.000Z,2025-11-07T06:35:44.000Z,58.0,2.5833,3,3,3,3,0,2163.5,10.0,216.35,1947.15,SUCURSAL CENTRO,special,completed_on_time
1045,ECO-ML-000519,True,2025-11-05T07:09:54.000Z,2025-11-07T04:09:54.000Z,43.0,7.15,3,4,4,4,0,1618.5,20.0,323.7,1294.8,SUCURSAL SUR,other,delayed
1046,ECO-ML-000520,True,2025-11-05T11:44:03.000Z,2025-11-06T19:44:03.000Z,34.0,11.7333,3,2,2,2,0,1592.5,20.0,318.5,1274.0,SUCURSAL SUR,other,completed_on_time
1047,ECO-ML-000521,True,2025-11-05T16:18:13.000Z,2025-11-08T07:18:13.000Z,66.0,16.3,3,1,1,1,0,1337.0,10.0,133.7,1203.3,Matriz,normal,completed_on_time
731,ECO-ML-000205,True,2025-11-05T18:35:00.000Z,2025-11-07T18:46:00.000Z,53.0,12.583333333333332,3,2,2,2,0,895.0,5.0,44.75,850.25,SUCURSAL SUR,dif,completed_on_time
971,ECO-ML-000445,True,2025-11-05T18:35:00.000Z,2025-11-06T18:26:00.000Z,28.0,12.583333333333332,3,2,2,2,0,815.0,5.0,40.75,774.25,SUCURSAL SUR,dif,completed_on_time
1048,ECO-ML-000522,True,2025-11-05T20:15:23.000Z,2025-11-06T21:15:23.000Z,20.0,20.25,3,6,6,6,0,3308.5,10.0,330.85,2977.65,SUCURSAL CENTRO,special,delayed
1049,ECO-ML-000523,True,2025-11-06T00:49:32.000Z,2025-11-07T13:49:32.000Z,42.0,0.8167,4,1,1,1,0,862.5,5.0,43.12,819.38,SUCURSAL CENTRO,special,completed_on_time
1050,ECO-ML-000524,True,2025-11-06T05:23:42.000Z,2025-11-07T06:23:42.000Z,10.0,5.3833,4,5,5,5,0,2737.5,0.0,0.0,2737.5,Matriz,normal,cancelled
1051,ECO-ML-000525,True,2025-11-06T09:20:51.000Z,2025-11-07T05:20:51.000Z,21.0,9.3333,4,1,1,1,0,768.5,0.0,0.0,768.5,SUCURSAL SUR,other,completed_on_time
1052,ECO-ML-000526,True,2025-11-06T13:55:01.000Z,2025-11-09T14:55:01.000Z,64.0,13.9167,4,6,6,6,0,3187.5,10.0,318.75,2868.75,Matriz - Centro,dif,delayed
1053,ECO-ML-000527,True,2025-11-06T18:29:11.000Z,2025-11-09T07:29:11.000Z,64.0,18.4833,4,5,5,5,0,3439.5,15.0,515.92,2923.58,Matriz - Centro,dif,completed_on_time
628,ECO-ML-000102,True,2025-11-06T19:42:00.000Z,2025-11-07T14:19:00.000Z,25.0,13.7,4,1,1,1,0,351.0,10.0,35.1,315.9,SUCURSAL SUR,special,completed_on_time
868,ECO-ML-000342,True,2025-11-06T19:42:00.000Z,2025-11-09T06:59:00.000Z,65.0,13.7,4,1,1,1,0,234.0,10.0,23.4,210.6,SUCURSAL SUR,special,completed_on_time
1054,ECO-ML-000528,True,2025-11-06T22:26:20.000Z,2025-11-09T09:26:20.000Z,63.0,22.4333,4,4,4,4,0,2028.5,20.0,405.7,1622.8,SUCURSAL CENTRO,special,completed_on_time
1055,ECO-ML-000529,True,2025-11-07T03:00:30.000Z,2025-11-08T23:00:30.000Z,32.0,3.0,5,5,6,4,0,2948.5,10.0,294.85,2653.65,SUCURSAL SUR,other,delayed
1056,ECO-ML-000530,True,2025-11-07T07:34:40.000Z,2025-11-08T19:34:40.000Z,42.0,7.5667,5,4,4,4,0,1820.0,15.0,273.0,1547.0,SUCURSAL SUR,other,completed_on_time
1057,ECO-ML-000531,True,2025-11-07T12:08:49.000Z,2025-11-07T17:08:49.000Z,6.0,12.1333,5,2,2,2,0,2032.5,5.0,101.62,1930.88,Matriz,normal,completed_on_time
1058,ECO-ML-000532,True,2025-11-07T16:05:59.000Z,2025-11-10T03:05:59.000Z,44.0,16.0833,5,3,3,3,0,1501.0,0.0,0.0,1501.0,SUCURSAL CENTRO,special,delayed
1059,ECO-ML-000533,True,2025-11-07T20:40:09.000Z,2025-11-09T16:40:09.000Z,47.0,20.6667,5,2,2,2,0,817.5,0.0,0.0,817.5,SUCURSAL CENTRO,special,completed_on_time
765,ECO-ML-000239,True,2025-11-07T20:49:00.000Z,2025-11-07T22:49:00.000Z,37.0,14.816666666666666,5,6,6,6,0,2444.0,15.0,366.6,2077.4,SUCURSAL NORTE,hospital,cancelled
1005,ECO-ML-000479,True,2025-11-07T20:49:00.000Z,2025-11-09T11:12:00.000Z,12.0,14.816666666666666,5,6,6,6,0,3690.0,15.0,553.5,3136.5,SUCURSAL CENTRO,hospital,delayed
1060,ECO-ML-000534,True,2025-11-08T01:14:18.000Z,2025-11-08T21:14:18.000Z,24.0,1.2333,6,2,2,2,0,1528.5,5.0,76.42,1452.08,SUCURSAL NORTE,hospital,completed_on_time
1061,ECO-ML-000535,True,2025-11-08T05:11:28.000Z,2025-11-09T17:11:28.000Z,34.0,5.1833,6,6,6,6,0,4283.5,10.0,428.35,3855.15,Matriz - Centro,dif,cancelled
1062,ECO-ML-000536,True,2025-11-08T09:45:38.000Z,2025-11-12T09:45:38.000Z,77.0,9.75,6,6,6,6,0,3518.5,10.0,351.85,3166.65,Matriz - Centro,dif,delayed
1063,ECO-ML-000537,True,2025-11-08T14:19:47.000Z,2025-11-09T06:19:47.000Z,17.0,14.3167,6,1,1,1,0,420.0,5.0,21.0,399.0,Matriz - Centro,dif,completed_on_time
1064,ECO-ML-000538,True,2025-11-08T18:16:57.000Z,2025-11-11T03:16:57.000Z,59.0,18.2667,6,1,1,1,0,789.0,10.0,78.9,710.1,SUCURSAL CENTRO,special,completed_on_time
662,ECO-ML-000136,True,2025-11-08T21:56:00.000Z,2025-11-08T23:56:00.000Z,9.0,15.933333333333332,6,5,5,5,0,2647.5,0.0,0.0,2647.5,SUCURSAL CENTRO,dif,cancelled
902,ECO-ML-000376,True,2025-11-08T21:56:00.000Z,2025-11-10T22:45:00.000Z,49.0,15.933333333333332,6,5,5,5,0,3573.5,0.0,0.0,3573.5,Matriz - Centro,dif,completed_on_time
1065,ECO-ML-000539,True,2025-11-08T22:51:06.000Z,2025-11-11T06:51:06.000Z,52.0,22.85,6,5,5,5,0,3659.5,10.0,365.95,3293.55,SUCURSAL SUR,other,delayed
1066,ECO-ML-000540,True,2025-11-09T03:25:16.000Z,2025-11-11T23:25:16.000Z,72.0,3.4167,0,5,5,5,0,3104.0,10.0,310.4,2793.6,SUCURSAL SUR,other,completed_on_time
1067,ECO-ML-000541,True,2025-11-09T07:59:26.000Z,2025-11-11T05:59:26.000Z,51.0,7.9833,0,3,3,3,0,1993.5,0.0,0.0,1993.5,Matriz,normal,completed_on_time
1068,ECO-ML-000542,True,2025-11-09T11:56:35.000Z,2025-11-10T21:56:35.000Z,27.0,11.9333,0,4,4,4,0,2209.5,10.0,220.95,1988.55,SUCURSAL CENTRO,special,delayed
1069,ECO-ML-000543,True,2025-11-09T16:30:45.000Z,2025-11-11T19:30:45.000Z,52.0,16.5,0,3,3,3,0,2388.5,15.0,358.27,2030.23,SUCURSAL CENTRO,special,completed_on_time
1070,ECO-ML-000544,True,2025-11-09T21:04:55.000Z,2025-11-11T00:04:55.000Z,29.0,21.0667,0,3,3,3,0,2100.0,20.0,420.0,1680.0,SUCURSAL NORTE,hospital,completed_on_time
559,ECO-ML-000033,True,2025-11-09T22:03:00.000Z,2025-11-11T19:19:00.000Z,46.0,16.05,0,4,4,4,0,3037.0,5.0,151.85,2885.15,Matriz - Centro,dif,completed_on_time
799,ECO-ML-000273,True,2025-11-09T22:03:00.000Z,2025-11-10T18:59:00.000Z,21.0,16.05,0,4,4,4,0,2659.0,5.0,132.95,2526.05,Matriz,dif,completed_on_time
1071,ECO-ML-000545,True,2025-11-10T01:02:04.000Z,2025-11-11T23:02:04.000Z,12.0,1.0333,1,6,7,5,0,3475.5,10.0,347.55,3127.95,Matriz - Centro,dif,cancelled
1072,ECO-ML-000546,True,2025-11-10T05:36:14.000Z,2025-11-11T21:36:14.000Z,29.0,5.6,1,6,6,6,0,2632.0,15.0,394.8,2237.2,Matriz - Centro,dif,delayed
1073,ECO-ML-000547,True,2025-11-10T10:10:24.000Z,2025-11-11T03:10:24.000Z,22.0,10.1667,1,2,2,2,0,815.0,20.0,163.0,652.0,Matriz - Centro,dif,completed_on_time
1074,ECO-ML-000548,True,2025-11-10T14:44:33.000Z,2025-11-13T00:44:33.000Z,64.0,14.7333,1,2,2,2,0,1568.0,20.0,313.6,1254.4,SUCURSAL CENTRO,special,completed_on_time
1075,ECO-ML-000549,True,2025-11-10T18:41:43.000Z,2025-11-14T08:41:43.000Z,72.0,18.6833,1,6,7,5,0,3060.5,10.0,306.05,2754.45,SUCURSAL SUR,other,delayed
696,ECO-ML-000170,True,2025-11-10T23:10:00.000Z,2025-11-13T07:32:00.000Z,58.0,17.166666666666664,1,3,3,3,0,1983.5,10.0,198.35,1785.15,SUCURSAL SUR,dif,completed_on_time
936,ECO-ML-000410,True,2025-11-10T23:10:00.000Z,2025-11-12T12:31:00.000Z,33.0,17.166666666666664,1,3,3,3,0,1478.5,10.0,147.85,1330.65,SUCURSAL SUR,dif,delayed
1076,ECO-ML-000550,True,2025-11-10T23:15:53.000Z,2025-11-12T13:15:53.000Z,40.0,23.25,1,1,1,1,0,830.0,0.0,0.0,830.0,SUCURSAL SUR,other,completed_on_time
1077,ECO-ML-000551,True,2025-11-11T03:50:02.000Z,2025-11-11T07:50:02.000Z,7.0,3.8333,2,1,1,1,0,765.0,5.0,38.25,726.75,Matriz,normal,completed_on_time
1078,ECO-ML-000552,True,2025-11-11T07:47:12.000Z,2025-11-13T16:47:12.000Z,40.0,7.7833,2,5,5,5,0,2220.5,10.0,222.05,1998.45,SUCURSAL CENTRO,special,delayed
1079,ECO-ML-000553,True,2025-11-11T12:21:21.000Z,2025-11-13T16:21:21.000Z,57.0,12.35,2,4,4,4,0,2916.5,10.0,291.65,2624.85,SUCURSAL CENTRO,special,completed_on_time
