study_id,code,name,cluster,distance_to_centroid,is_outlier
1,GLU-001,GLUCOSA,1,3.7752,True
2,BH01,BIOMETRIA HEMATICA,1,2.1389,False
3,QS06,QUIMICA SANGUINEA 6 ELEMENTOS,1,1.6037,False
4,QS12,QUIMICA SANGUINEA 12 ELEMENTOS,1,2.6905,True
5,GLU01,GLUCOSA,1,3.8497,True
6,HBA1C,Hemoglobina glucosilada HbA1c,1,1.433,False
7,COL01,COLESTEROL TOTAL,1,1.7011,False
8,TRI01,TRIGLICERIDOS,1,3.0526,True
9,PL01,PERFIL LIPIDICO,1,1.3423,False
10,EGO01,EXAMEN GENERAL DE ORINA,1,1.8935,False
11,UROC01,UROCULTIVO,1,1.2879,False
12,CREA01,CREATININA,1,1.8761,False
13,UREA01,UREA,1,2.0124,False
14,AU01,ACIDO URICO,1,3.8416,True
15,HCG01,PRUEBA DE EMBARAZO,1,1.7633,False
16,TSH01,TSH,1,1.4529,False
17,T301,T3,1,1.6717,False
18,T401,T4,1,1.5049,False
19,PT01,PROTEINAS TOTALES,1,1.8523,False
20,ALB01,ALBUMINA,1,2.3606,False
21,BILI01,BILIRRUBINA TOTAL,1,1.8195,False
22,TGO01,TGO,1,1.7873,False
23,TGP01,TGP,1,1.63,False
29,PCR01,PCR,1,1.4842,False
30,VDRL01,VDRL,1,2.1872,False
31,VIH01,VIH,1,1.4488,False
32,GLU-PP01,Glucosa posprandial,1,1.8826,False
33,INS-AY01,Insulina sérica en ayuno,1,0.7814,False
35,QS003,Química sanguínea de 3 elementos,1,1.6106,False
36,DDIM01,Dímero D cuantitativo,1,1.2915,False
37,EXFAR01,Cultivo de exudado faríngeo,2,12.3669,True
38,COVPCR01,Detección de SARS-CoV-2 por RT-PCR,2,5.5709,True
39,BH001,Biometría hemática completa,1,1.6837,False
40,QS006,Química sanguínea de 6 elementos,1,1.3117,False
41,QS012,Química sanguínea de 12 elementos,1,1.0894,False
42,GLU001,Glucosa en sangre,1,1.8531,False
44,PL001,Perfil lipídico,1,1.52,False
45,EGO001,Examen general de orina,1,1.5568,False
46,UROCUL,Urocultivo,2,12.382,True
47,HCG001,Prueba de embarazo en sangre,1,1.6837,False
48,PH001,Perfil hepático,1,0.8121,False
49,PT001,Perfil tiroideo T3 T4 TSH,1,1.1618,False
50,PSA001,Antígeno prostático específico PSA,1,1.3121,False
51,GRH001,Grupo sanguíneo y factor RH,1,1.839,False
52,COP001,Coprológico general,1,1.4664,False
53,RF001,Reacciones febriles,1,1.5569,False
54,TP001,Tiempo de protrombina TP,1,1.6837,False
55,TPT001,Tiempo parcial de tromboplastina TPT,1,1.3296,False
59,ECN-CAT-QC-001,Determinación de Glucosa,1,0.956,False
60,ECN-CAT-HEM-001,Determinación de Biometría hemática,1,1.3516,False
61,ECN-CAT-INM-001,Determinación de Proteína C reactiva,2,1.0009,False
62,ECN-CAT-MIC-001,Determinación de Urocultivo,2,3.2712,True
63,ECN-CAT-COA-001,Determinación de Tiempo de protrombina,1,0.8937,False
64,ECN-CAT-END-001,Determinación de Hormona estimulante de tiroides,1,1.289,False
65,ECN-CAT-URO-001,Determinación de Examen general de orina,2,1.195,False
66,ECN-CAT-MOL-001,Determinación de Detección molecular de SARS-CoV-2,2,1.8606,False
67,ECN-CAT-QC-002,Determinación de Urea,1,1.4434,False
68,ECN-CAT-HEM-002,Determinación de Hemoglobina,1,0.496,False
69,ECN-CAT-INM-002,Determinación de Factor reumatoide,2,0.8717,False
70,ECN-CAT-MIC-002,Determinación de Coprocultivo,2,2.8376,True
71,ECN-CAT-COA-002,Determinación de Tiempo de tromboplastina parcial,1,1.5029,False
72,ECN-CAT-END-002,Determinación de Tiroxina libre,1,0.8569,False
73,ECN-CAT-URO-002,Determinación de Microalbúmina en orina,1,1.5594,False
74,ECN-CAT-MOL-002,Determinación de Virus de influenza A,2,1.7327,False
75,ECN-CAT-QC-003,Determinación de Creatinina,2,1.1165,False
76,ECN-CAT-HEM-003,Determinación de Hematocrito,1,0.6337,False
77,ECN-CAT-INM-003,Determinación de Antiestreptolisinas O,1,1.5109,False
78,ECN-CAT-MIC-003,Determinación de Exudado faríngeo,2,2.5626,False
79,ECN-CAT-COA-003,Determinación de Tiempo de trombina,2,1.83,False
80,ECN-CAT-END-003,Determinación de Tiroxina total,1,1.1239,False
81,ECN-CAT-URO-003,Determinación de Proteínas en orina,1,0.6058,False
82,ECN-CAT-MOL-003,Determinación de Virus de influenza B,2,1.238,False
83,ECN-CAT-QC-004,Determinación de Ácido úrico,2,0.969,False
84,ECN-CAT-HEM-004,Determinación de Eritrocitos,1,1.468,False
85,ECN-CAT-INM-004,Determinación de Inmunoglobulina A,1,1.0742,False
86,ECN-CAT-MIC-004,Determinación de Exudado nasal,2,2.547,False
87,ECN-CAT-COA-004,Determinación de Fibrinógeno,2,1.2684,False
88,ECN-CAT-END-004,Determinación de Triyodotironina libre,1,1.0633,False
89,ECN-CAT-URO-004,Determinación de Glucosa en orina,1,0.4582,False
90,ECN-CAT-MOL-004,Determinación de Virus del papiloma humano,2,1.5592,False
91,ECN-CAT-QC-005,Determinación de Colesterol total,2,1.412,False
92,ECN-CAT-HEM-005,Determinación de Leucocitos,2,1.2767,False
