study_id,code,name,is_synthetic,cluster,distance_to_centroid,outlier_threshold,is_outlier
478,ECN-CAT-MIC-053,Evaluación de Exudado faríngeo,True,1,4.410048072451632,2.6636183566,True
886,ECN-CAT-MIC-104,Confirmación de Exudado nasal,True,2,4.4052621529632745,2.8080490982,True
710,ECN-CAT-MIC-082,Control de Hemocultivo,True,1,4.399772486257072,2.6636183566,True
62,ECN-CAT-MIC-001,Determinación de Urocultivo,True,2,4.130593973567884,2.8080490982,True
37,EXFAR01,Cultivo de exudado faríngeo,False,2,3.977762632076404,2.8080490982,True
254,ECN-CAT-MIC-025,Determinación de Candida albicans,True,2,3.9601174670937898,2.8080490982,True
838,ECN-CAT-MIC-098,Control de Salmonella,True,1,3.9195872408699435,2.6636183566,True
718,ECN-CAT-MIC-083,Control de Cultivo de esputo,True,1,3.8603643132318677,2.6636183566,True
238,ECN-CAT-MIC-023,Determinación de Salmonella,True,1,3.8602899701711446,2.6636183566,True
342,ECN-CAT-MIC-036,Cuantificación de Antibiograma,True,2,3.8236847281313766,2.8080490982,True
46,UROCUL,Urocultivo,False,2,3.8166872932071345,2.8080490982,True
294,ECN-CAT-MIC-030,Cuantificación de Exudado vaginal,True,1,3.7992987623824828,2.6636183566,True
526,ECN-CAT-MIC-059,Evaluación de Cultivo de heridas,True,1,3.7751315683973887,2.6636183566,True
462,ECN-CAT-MIC-051,Evaluación de Urocultivo,True,2,3.7621418246161777,2.8080490982,True
118,ECN-CAT-MIC-008,Determinación de Cultivo de esputo,True,1,3.7586726140513345,2.6636183566,True
534,ECN-CAT-MIC-060,Evaluación de Cultivo de secreciones,True,1,3.748955286354492,2.6636183566,True
702,ECN-CAT-MIC-081,Control de Exudado uretral,True,2,3.748570121114419,2.8080490982,True
942,ECN-CAT-MIC-111,Confirmación de Antibiograma,True,2,3.709002499953986,2.8080490982,True
646,ECN-CAT-MIC-074,Evaluación de Shigella,True,1,3.7065435692892774,2.6636183566,True
470,ECN-CAT-MIC-052,Evaluación de Coprocultivo,True,1,3.694378614350802,2.6636183566,True
654,ECN-CAT-MIC-075,Evaluación de Candida albicans,True,1,3.6328395067612456,2.6636183566,True
894,ECN-CAT-MIC-105,Confirmación de Exudado vaginal,True,1,3.629546853681778,2.6636183566,True
38,COVPCR01,Detección de SARS-CoV-2 por RT-PCR,False,2,3.584109387528391,2.8080490982,True
278,ECN-CAT-MIC-028,Cuantificación de Exudado faríngeo,True,2,3.5831404623569827,2.8080490982,True
286,ECN-CAT-MIC-029,Cuantificación de Exudado nasal,True,1,3.5528155350015314,2.6636183566,True
110,ECN-CAT-MIC-007,Determinación de Hemocultivo,True,1,3.5451018925208597,2.6636183566,True
542,ECN-CAT-MIC-061,Evaluación de Antibiograma,True,2,3.5424834677633577,2.8080490982,True
638,ECN-CAT-MIC-073,Evaluación de Salmonella,True,2,3.508965026579998,2.8080490982,True
302,ECN-CAT-MIC-031,Cuantificación de Exudado uretral,True,2,3.506933282922607,2.8080490982,True
454,ECN-CAT-MIC-050,Cuantificación de Candida albicans,True,2,3.5008083461857864,2.8080490982,True
170,ECN-CAT-MOL-014,Determinación de Bordetella pertussis,True,1,3.4772967284531004,2.6636183566,True
934,ECN-CAT-MIC-110,Confirmación de Cultivo de secreciones,True,2,3.4767928406244772,2.8080490982,True
1054,ECN-CAT-MIC-125,Confirmación de Candida albicans,True,2,3.4739026904176424,2.8080490982,True
870,ECN-CAT-MIC-102,Confirmación de Coprocultivo,True,2,3.471552741272338,2.8080490982,True
102,ECN-CAT-MIC-006,Determinación de Exudado uretral,True,2,3.4651704643353676,2.8080490982,True
902,ECN-CAT-MIC-106,Confirmación de Exudado uretral,True,2,3.459550714916623,2.8080490982,True
126,ECN-CAT-MIC-009,Determinación de Cultivo de heridas,True,2,3.447200526578704,2.8080490982,True
