order_id,source_folio,is_synthetic,source_created_at,source_updated_at,promised_lead_hours,registration_hour,registration_weekday,item_count,total_quantity,distinct_study_count,package_component_count,subtotal_amount,courtesy_percent,discount_amount,total_amount,branch_name,dominant_price_type,outcome
663,ECO-ML-000137,true,2025-11-01T14:07:00+00:00,2025-11-01T16:07:00+00:00,20.0,8.116666666666665,6,6,6,6,0,3683.5,5.0,184.18,3499.32,sucursal sur,special,cancelled
903,ECO-ML-000377,true,2025-11-01T14:07:00+00:00,2025-11-04T01:13:00+00:00,60.0,8.116666666666665,6,6,6,6,0,3936.0,5.0,196.8,3739.2,sucursal sur,special,completed_on_time
1027,ECO-ML-000501,true,2025-11-02T00:00:00+00:00,2025-11-04T07:00:00+00:00,56.0,0.0,0,5,5,5,1,3661.0,0.0,0.0,3661.0,matriz,normal,completed_on_time
1028,ECO-ML-000502,true,2025-11-02T04:34:10+00:00,2025-11-04T23:34:10+00:00,64.0,4.5667,0,5,5,5,0,3459.5,15.0,518.92,2940.58,sucursal centro,special,delayed
1029,ECO-ML-000503,true,2025-11-02T09:08:19+00:00,2025-11-05T03:08:19+00:00,69.0,9.1333,0,4,4,4,0,2419.0,20.0,483.8,1935.2,sucursal centro,special,completed_on_time
1030,ECO-ML-000504,true,2025-11-02T13:42:29+00:00,2025-11-02T18:42:29+00:00,19.0,13.7,0,6,6,6,0,3683.5,5.0,184.18,3499.32,matriz,normal,cancelled
560,ECO-ML-000034,true,2025-11-02T15:14:00+00:00,2025-11-05T13:47:00+00:00,57.0,9.23333333333333,0,5,5,5,0,3369.5,10.0,336.95,3032.55,sucursal sur,dif,delayed
800,ECO-ML-000274,true,2025-11-02T15:14:00+00:00,2025-11-04T11:46:00+00:00,32.0,9.23333333333333,0,5,5,5,0,2711.5,10.0,271.15,2440.35,sucursal norte,dif,delayed
1031,ECO-ML-000505,true,2025-11-02T17:39:39+00:00,2025-11-04T09:39:39+00:00,45.0,17.65,0,3,3,3,0,1727.0,0.0,0.0,1727.0,sucursal sur,other,completed_on_time
1032,ECO-ML-000506,true,2025-11-02T22:13:48+00:00,2025-11-05T00:13:48+00:00,43.0,22.2167,0,5,5,5,0,2576.5,15.0,386.48,2190.02,matriz - centro,dif,delayed
1033,ECO-ML-000507,true,2025-11-03T02:47:58+00:00,2025-11-05T04:47:58+00:00,51.0,2.7833,1,2,2,2,0,985.0,10.0,98.5,886.5,matriz - centro,dif,completed_on_time
1034,ECO-ML-000508,true,2025-11-03T06:45:08+00:00,2025-11-04T08:45:08+00:00,28.0,6.75,1,2,2,2,0,950.0,15.0,142.5,807.5,sucursal centro,special,completed_on_time
1035,ECO-ML-000509,true,2025-11-03T11:19:17+00:00,2025-11-06T00:19:17+00:00,51.0,11.3167,1,4,5,3,0,2173.0,15.0,325.95,1847.05,sucursal sur,other,delayed
1036,ECO-ML-000510,true,2025-11-03T15:53:27+00:00,2025-11-04T16:53:27+00:00,29.0,15.8833,1,1,1,1,0,171.0,10.0,17.1,153.9,sucursal sur,other,completed_on_time
697,ECO-ML-000171,true,2025-11-03T16:21:00+00:00,2025-11-06T11:00:00+00:00,69.0,10.35,1,4,4,4,0,2509.0,15.0,376.35,2132.65,sucursal centro,dif,completed_on_time
937,ECO-ML-000411,true,2025-11-03T16:21:00+00:00,2025-11-05T17:59:00+00:00,44.0,10.35,1,4,4,4,0,2173.0,15.0,325.95,1847.05,matriz - centro,dif,delayed
1037,ECO-ML-000511,true,2025-11-03T20:27:36+00:00,2025-11-06T04:27:36+00:00,61.0,20.45,1,1,1,1,0,99.0,15.0,14.85,84.15,matriz,normal,completed_on_time
1038,ECO-ML-000512,true,2025-11-04T00:24:46+00:00,2025-11-05T15:24:46+00:00,26.0,0.4,2,3,3,3,0,1576.0,0.0,0.0,1576.0,sucursal centro,special,delayed
1039,ECO-ML-000513,true,2025-11-04T04:58:56+00:00,2025-11-06T04:58:56+00:00,49.0,4.9667,2,5,5,5,0,3528.5,0.0,0.0,3528.5,sucursal centro,special,completed_on_time
1040,ECO-ML-000514,true,2025-11-04T09:33:05+00:00,2025-11-06T07:33:05+00:00,48.0,9.55,2,4,4,4,0,3037.0,5.0,151.85,2885.15,sucursal norte,hospital,completed_on_time
1041,ECO-ML-000515,true,2025-11-04T13:30:15+00:00,2025-11-05T05:30:15+00:00,38.0,13.5,2,6,6,6,0,2534.0,10.0,253.4,2280.6,matriz - centro,dif,cancelled
594,ECO-ML-000068,true,2025-11-04T17:28:00+00:00,2025-11-06T06:33:00+00:00,41.0,11.466666666666669,2,3,3,3,0,1727.0,0.0,0.0,1727.0,matriz - centro,dif,completed_on_time
834,ECO-ML-000308,true,2025-11-04T17:28:00+00:00,2025-11-06T09:13:00+00:00,16.0,11.466666666666669,2,3,3,3,0,1441.0,0.0,0.0,1441.0,matriz,dif,delayed
1042,ECO-ML-000516,true,2025-11-04T18:04:25+00:00,2025-11-06T06:04:25+00:00,19.0,18.0667,2,6,6,6,0,3600.0,10.0,360.0,3240.0,matriz - centro,dif,delayed
1043,ECO-ML-000517,true,2025-11-04T22:38:34+00:00,2025-11-05T12:38:34+00:00,19.0,22.6333,2,4,4,4,0,2794.0,0.0,0.0,2794.0,matriz - centro,dif,completed_on_time
1044,ECO-ML-000518,true,2025-11-05T02:35:44+00:00,2025-11-07T06:35:44+00:00,58.0,2.5833,3,3,3,3,0,2163.5,10.0,216.35,1947.15,sucursal centro,special,completed_on_time
1045,ECO-ML-000519,true,2025-11-05T07:09:54+00:00,2025-11-07T04:09:54+00:00,43.0,7.15,3,4,4,4,0,1618.5,20.0,323.7,1294.8,sucursal sur,other,delayed
1046,ECO-ML-000520,true,2025-11-05T11:44:03+00:00,2025-11-06T19:44:03+00:00,34.0,11.7333,3,2,2,2,0,1592.5,20.0,318.5,1274.0,sucursal sur,other,completed_on_time
1047,ECO-ML-000521,true,2025-11-05T16:18:13+00:00,2025-11-08T07:18:13+00:00,66.0,16.3,3,1,1,1,0,1337.0,10.0,133.7,1203.3,matriz,normal,completed_on_time
731,ECO-ML-000205,true,2025-11-05T18:35:00+00:00,2025-11-07T18:46:00+00:00,53.0,12.583333333333332,3,2,2,2,0,895.0,5.0,44.75,850.25,sucursal sur,dif,completed_on_time
971,ECO-ML-000445,true,2025-11-05T18:35:00+00:00,2025-11-06T18:26:00+00:00,28.0,12.583333333333332,3,2,2,2,0,815.0,5.0,40.75,774.25,sucursal sur,dif,completed_on_time
1048,ECO-ML-000522,true,2025-11-05T20:15:23+00:00,2025-11-06T21:15:23+00:00,20.0,20.25,3,6,6,6,0,3308.5,10.0,330.85,2977.65,sucursal centro,special,delayed
1049,ECO-ML-000523,true,2025-11-06T00:49:32+00:00,2025-11-07T13:49:32+00:00,42.0,0.8167,4,1,1,1,0,862.5,5.0,43.12,819.38,sucursal centro,special,completed_on_time
1050,ECO-ML-000524,true,2025-11-06T05:23:42+00:00,2025-11-07T06:23:42+00:00,10.0,5.3833,4,5,5,5,0,2737.5,0.0,0.0,2737.5,matriz,normal,cancelled
