study_id,code,name,price,delivery_hours,parameter_count,request_count,synthetic_request_count,sample_type,analysis_method,requires_special_processing,is_synthetic
1,GLU-001,GLUCOSA,110,1,,5,1,,,,false
2,BH01,BIOMETRIA HEMATICA,180,0.5,,3,1,,AUTOMATIZADO,,false
3,QS06,QUIMICA SANGUINEA 6 ELEMENTOS,220,0.75,,0,0,,ESPECTROFOTOMETRIA,,false
4,QS12,QUIMICA SANGUINEA 12 ELEMENTOS,350,1,,4,2,,ESPECTROFOTOMETRIA,,false
5,GLU01,GLUCOSA,80,0.25,,5,1,,ENZIMATICO,,false
6,HBA1C,Hemoglobina glucosilada HbA1c,280,1.5,,0,0,,Inmunoturbidimetría,,false
7,COL01,COLESTEROL TOTAL,90,0.3333333333333333,,1,0,,ENZIMATICO,,false
8,TRI01,TRIGLICERIDOS,90,0.3333333333333333,,4,2,,ENZIMATICO,,false
9,PL01,PERFIL LIPIDICO,260,0.6666666666666666,,2,0,,ENZIMATICO,,false
10,EGO01,EXAMEN GENERAL DE ORINA,120,0.4166666666666667,,0,0,,MICROSCOPIA,,false
11,UROC01,UROCULTIVO,280,0.8,,2,0,,CULTIVO,,false
12,CREA01,CREATININA,85,0.25,,2,1,,ENZIMATICO,,false
13,UREA01,UREA,85,0.25,,0,0,,ENZIMATICO,,false
14,AU01,ACIDO URICO,85,0.25,,5,2,,ENZIMATICO,,false
15,HCG01,PRUEBA DE EMBARAZO,120,0.25,,2,2,,INMUNOENSAYO,,false
16,TSH01,TSH,220,0.5,,2,1,,INMUNOENSAYO,,false
17,T301,T3,200,0.5,,0,0,,INMUNOENSAYO,,false
18,T401,T4,200,0.5,,2,2,,INMUNOENSAYO,,false
19,PT01,PROTEINAS TOTALES,90,0.3333333333333333,,2,1,,COLORIMETRIA,,false
20,ALB01,ALBUMINA,90,0.3333333333333333,,3,0,,COLORIMETRIA,,false
21,BILI01,BILIRRUBINA TOTAL,100,0.3333333333333333,,2,1,,COLORIMETRIA,,false
22,TGO01,TGO,110,0.3333333333333333,,2,1,,ENZIMATICO,,false
23,TGP01,TGP,110,0.3333333333333333,,1,0,,ENZIMATICO,,false
29,PCR01,PCR,150,0.4166666666666667,,1,1,,INMUNOENSAYO,,false
30,VDRL01,VDRL,160,0.4166666666666667,,3,2,,AGLUTINACION,,false
31,VIH01,VIH,320,0.5,,0,0,,ELISA,,false
32,GLU-PP01,Glucosa posprandial,110,1,,0,0,serum,Enzimático colorimétrico,false,false
33,INS-AY01,Insulina sérica en ayuno,390,2,,1,1,serum,Quimioluminiscencia,false,false
35,QS003,Química sanguínea de 3 elementos,190,1,3,0,0,serum,Espectrofotometría,false,false
36,DDIM01,Dímero D cuantitativo,420,2,,0,0,plasma,Inmunoturbidimetría,true,false
37,EXFAR01,Cultivo de exudado faríngeo,360,48,,2,2,swab,Cultivo microbiológico,true,false
38,COVPCR01,Detección de SARS-CoV-2 por RT-PCR,950,24,,2,2,swab,RT-PCR,true,false
39,BH001,Biometría hemática completa,180,1,,0,0,,Citometría / hematología automatizada,,false
40,QS006,Química sanguínea de 6 elementos,260,1,,2,2,,Espectrofotometría,,false
41,QS012,Química sanguínea de 12 elementos,420,1.5,,2,2,,Espectrofotometría,,false
42,GLU001,Glucosa en sangre,80,0.75,,2,2,,Enzimático colorimétrico,,false
44,PL001,Perfil lipídico,250,1,,0,0,,Espectrofotometría,,false
45,EGO001,Examen general de orina,120,0.75,,1,1,,Tira reactiva y microscopía,,false
46,UROCUL,Urocultivo,380,48,,0,0,,Cultivo microbiológico,,false
47,HCG001,Prueba de embarazo en sangre,180,1,,0,0,,Inmunoensayo,,false
48,PH001,Perfil hepático,390,1.5,,1,1,,Espectrofotometría,,false
49,PT001,Perfil tiroideo T3 T4 TSH,520,2,,2,2,,Quimioluminiscencia,,false
50,PSA001,Antígeno prostático específico PSA,360,2,,0,0,,Quimioluminiscencia,,false
51,GRH001,Grupo sanguíneo y factor RH,130,0.75,,0,0,,Hemaglutinación,,false
52,COP001,Coprológico general,140,1,,1,1,,Microscopía,,false
53,RF001,Reacciones febriles,220,1.5,,0,0,,Aglutinación,,false
54,TP001,Tiempo de protrombina TP,180,1,,0,0,,Coagulometría,,false
55,TPT001,Tiempo parcial de tromboplastina TPT,180,1,,1,1,,Coagulometría,,false
59,ECN-CAT-QC-001,Determinación de Glucosa,310,1,8,2,2,serum,ENZIMÁTICO,false,true
60,ECN-CAT-HEM-001,Determinación de Biometría hemática,500,1.75,15,0,0,blood,IMPEDANCIA,false,true
61,ECN-CAT-INM-001,Determinación de Proteína C reactiva,690,2.75,22,2,2,serum,INMUNOENSAYO,false,true
62,ECN-CAT-MIC-001,Determinación de Urocultivo,940,14.25,29,3,3,urine,CULTIVO,true,true
63,ECN-CAT-COA-001,Determinación de Tiempo de protrombina,360,1.25,6,2,2,plasma,COAGULOMETRÍA,false,true
64,ECN-CAT-END-001,Determinación de Hormona estimulante de tiroides,540,2.25,13,0,0,serum,INMUNOENSAYO,false,true
65,ECN-CAT-URO-001,Determinación de Examen general de orina,610,1.75,20,1,1,urine,TIRA REACTIVA,false,true
66,ECN-CAT-MOL-001,Determinación de Detección molecular de SARS-CoV-2,1160,7.25,27,1,1,swab,RT-PCR,true,true
67,ECN-CAT-QC-002,Determinación de Urea,240,1,4,0,0,plasma,ESPECTROFOTOMETRÍA,false,true
68,ECN-CAT-HEM-002,Determinación de Hemoglobina,500,2.25,11,1,1,blood,CITOMETRÍA,false,true
69,ECN-CAT-INM-002,Determinación de Factor reumatoide,680,3,18,1,1,serum,ELISA,false,true
70,ECN-CAT-MIC-002,Determinación de Coprocultivo,840,14,25,0,0,stool,CULTIVO,true,true
71,ECN-CAT-COA-002,Determinación de Tiempo de tromboplastina parcial,260,1,2,0,0,plasma,COAGULOMETRÍA,false,true
72,ECN-CAT-END-002,Determinación de Tiroxina libre,500,3,9,2,2,plasma,QUIMIOLUMINISCENCIA,false,true
