study_id,code,name,cluster,distance_to_centroid,outlier_score,is_outlier,is_synthetic,price,delivery_hours,parameter_count,request_count,sample_type,analysis_method,requires_special_processing
1,GLU-001,GLUCOSA,1,3.0133,1.104,True,False,110.0,1.0,15,5,sin_especificar,sin_especificar,False
2,BH01,BIOMETRIA HEMATICA,1,2.4409,0.894,False,False,180.0,0.5,15,3,sin_especificar,automatizado,False
3,QS06,QUIMICA SANGUINEA 6 ELEMENTOS,1,1.9315,0.707,False,False,220.0,0.75,15,0,sin_especificar,espectrofotometria,False
4,QS12,QUIMICA SANGUINEA 12 ELEMENTOS,1,2.9219,1.07,True,False,350.0,1.0,15,4,sin_especificar,espectrofotometria,False
5,GLU01,GLUCOSA,1,3.1852,1.167,True,False,80.0,0.25,15,5,sin_especificar,enzimatico,False
6,HBA1C,Hemoglobina glucosilada HbA1c,1,1.8073,0.662,False,False,280.0,1.5,15,0,sin_especificar,inmunoturbidimetria,False
7,COL01,COLESTEROL TOTAL,1,1.8774,0.688,False,False,90.0,0.3333333333333333,15,1,sin_especificar,enzimatico,False
8,TRI01,TRIGLICERIDOS,1,3.1852,1.167,True,False,90.0,0.3333333333333333,15,4,sin_especificar,enzimatico,False
9,PL01,PERFIL LIPIDICO,1,1.721,0.63,False,False,260.0,0.6666666666666666,15,2,sin_especificar,enzimatico,False
10,EGO01,EXAMEN GENERAL DE ORINA,1,2.1021,0.77,False,False,120.0,0.4166666666666667,15,0,sin_especificar,microscopia,False
11,UROC01,UROCULTIVO,1,1.6975,0.622,False,False,280.0,0.8,15,2,sin_especificar,cultivo,False
12,CREA01,CREATININA,1,2.024,0.741,False,False,85.0,0.25,15,2,sin_especificar,enzimatico,False
13,UREA01,UREA,1,2.1418,0.784,False,False,85.0,0.25,15,0,sin_especificar,enzimatico,False
14,AU01,ACIDO URICO,1,3.1852,1.167,True,False,85.0,0.25,15,5,sin_especificar,enzimatico,False
15,HCG01,PRUEBA DE EMBARAZO,1,2.0073,0.735,False,False,120.0,0.25,15,2,sin_especificar,inmunoensayo,False
16,TSH01,TSH,1,1.7964,0.658,False,False,220.0,0.5,15,2,sin_especificar,inmunoensayo,False
17,T301,T3,1,1.9699,0.721,False,False,200.0,0.5,15,0,sin_especificar,inmunoensayo,False
18,T401,T4,1,1.8412,0.674,False,False,200.0,0.5,15,2,sin_especificar,inmunoensayo,False
19,PT01,PROTEINAS TOTALES,1,2.0102,0.736,False,False,90.0,0.3333333333333333,15,2,sin_especificar,colorimetria,False
