study_id,study_code,study_name,is_synthetic,type,method,parameter_count,duration_minutes,sample_type,requires_special_processing,normal_price
1,GLU-001,GLUCOSA,False,study,sin_metodo,0,60,unknown,sin_especificar,110.0
2,BH01,BIOMETRIA HEMATICA,False,study,automatizado,0,30,unknown,sin_especificar,180.0
3,QS06,QUIMICA SANGUINEA 6 ELEMENTOS,False,study,espectrofotometria,0,45,unknown,sin_especificar,220.0
4,QS12,QUIMICA SANGUINEA 12 ELEMENTOS,False,study,espectrofotometria,0,60,unknown,sin_especificar,350.0
5,GLU01,GLUCOSA,False,study,enzimatico,0,15,unknown,sin_especificar,80.0
6,HBA1C,Hemoglobina glucosilada HbA1c,False,study,inmunoturbidimetria,0,90,unknown,sin_especificar,280.0
7,COL01,COLESTEROL TOTAL,False,study,enzimatico,0,20,unknown,sin_especificar,90.0
8,TRI01,TRIGLICERIDOS,False,study,enzimatico,0,20,unknown,sin_especificar,90.0
9,PL01,PERFIL LIPIDICO,False,study,enzimatico,0,40,unknown,sin_especificar,260.0
10,EGO01,EXAMEN GENERAL DE ORINA,False,study,microscopia,0,25,unknown,sin_especificar,120.0
11,UROC01,UROCULTIVO,False,study,cultivo,0,48,unknown,sin_especificar,280.0
12,CREA01,CREATININA,False,study,enzimatico,0,15,unknown,sin_especificar,85.0
13,UREA01,UREA,False,study,enzimatico,0,15,unknown,sin_especificar,85.0
14,AU01,ACIDO URICO,False,study,enzimatico,0,15,unknown,sin_especificar,85.0
15,HCG01,PRUEBA DE EMBARAZO,False,study,inmunoensayo,0,15,unknown,sin_especificar,120.0
16,TSH01,TSH,False,study,inmunoensayo,0,30,unknown,sin_especificar,220.0
17,T301,T3,False,study,inmunoensayo,0,30,unknown,sin_especificar,200.0
18,T401,T4,False,study,inmunoensayo,0,30,unknown,sin_especificar,200.0
19,PT01,PROTEINAS TOTALES,False,study,colorimetria,0,20,unknown,sin_especificar,90.0
20,ALB01,ALBUMINA,False,study,colorimetria,0,20,unknown,sin_especificar,90.0
21,BILI01,BILIRRUBINA TOTAL,False,study,colorimetria,0,20,unknown,sin_especificar,100.0
22,TGO01,TGO,False,study,enzimatico,0,20,unknown,sin_especificar,110.0
23,TGP01,TGP,False,study,enzimatico,0,20,unknown,sin_especificar,110.0
29,PCR01,PCR,False,study,inmunoensayo,0,25,unknown,sin_especificar,150.0
30,VDRL01,VDRL,False,study,aglutinacion,0,25,unknown,sin_especificar,160.0
31,VIH01,VIH,False,study,elisa,0,30,unknown,sin_especificar,320.0
32,GLU-PP01,Glucosa posprandial,False,study,enzimatico colorimetrico,0,60,serum,false,110.0
33,INS-AY01,Insulina sérica en ayuno,False,study,quimioluminiscencia,0,120,serum,false,390.0
35,QS003,Química sanguínea de 3 elementos,False,study,espectrofotometria,3,60,serum,false,190.0
36,DDIM01,Dímero D cuantitativo,False,study,inmunoturbidimetria,0,120,plasma,true,420.0
37,EXFAR01,Cultivo de exudado faríngeo,False,study,cultivo microbiologico,0,2880,swab,true,360.0
38,COVPCR01,Detección de SARS-CoV-2 por RT-PCR,False,study,rt-pcr,0,1440,swab,true,950.0
39,BH001,Biometría hemática completa,False,study,citometria / hematologia automatizada,0,60,unknown,sin_especificar,180.0
40,QS006,Química sanguínea de 6 elementos,False,study,espectrofotometria,0,60,unknown,sin_especificar,260.0
41,QS012,Química sanguínea de 12 elementos,False,study,espectrofotometria,0,90,unknown,sin_especificar,420.0
42,GLU001,Glucosa en sangre,False,study,enzimatico colorimetrico,0,45,unknown,sin_especificar,80.0
44,PL001,Perfil lipídico,False,study,espectrofotometria,0,60,unknown,sin_especificar,250.0
45,EGO001,Examen general de orina,False,study,tira reactiva y microscopia,0,45,unknown,sin_especificar,120.0
46,UROCUL,Urocultivo,False,study,cultivo microbiologico,0,2880,unknown,sin_especificar,380.0
47,HCG001,Prueba de embarazo en sangre,False,study,inmunoensayo,0,60,unknown,sin_especificar,180.0
48,PH001,Perfil hepático,False,study,espectrofotometria,0,90,unknown,sin_especificar,390.0
49,PT001,Perfil tiroideo T3 T4 TSH,False,study,quimioluminiscencia,0,120,unknown,sin_especificar,520.0
50,PSA001,Antígeno prostático específico PSA,False,study,quimioluminiscencia,0,120,unknown,sin_especificar,360.0
51,GRH001,Grupo sanguíneo y factor RH,False,study,hemaglutinacion,0,45,unknown,sin_especificar,130.0
52,COP001,Coprológico general,False,study,microscopia,0,60,unknown,sin_especificar,140.0
53,RF001,Reacciones febriles,False,study,aglutinacion,0,90,unknown,sin_especificar,220.0
54,TP001,Tiempo de protrombina TP,False,study,coagulometria,0,60,unknown,sin_especificar,180.0
55,TPT001,Tiempo parcial de tromboplastina TPT,False,study,coagulometria,0,60,unknown,sin_especificar,180.0
59,ECN-CAT-QC-001,Determinación de Glucosa,True,study,enzimatico,8,60,serum,false,310.0
60,ECN-CAT-HEM-001,Determinación de Biometría hemática,True,study,impedancia,15,105,blood,false,500.0
61,ECN-CAT-INM-001,Determinación de Proteína C reactiva,True,study,inmunoensayo,22,165,serum,false,690.0
62,ECN-CAT-MIC-001,Determinación de Urocultivo,True,study,cultivo,29,855,urine,true,940.0
63,ECN-CAT-COA-001,Determinación de Tiempo de protrombina,True,study,coagulometria,6,75,plasma,false,360.0
64,ECN-CAT-END-001,Determinación de Hormona estimulante de tiroides,True,study,inmunoensayo,13,135,serum,false,540.0
65,ECN-CAT-URO-001,Determinación de Examen general de orina,True,study,tira reactiva,20,105,urine,false,610.0
66,ECN-CAT-MOL-001,Determinación de Detección molecular de SARS-CoV-2,True,study,rt-pcr,27,435,swab,true,1160.0
67,ECN-CAT-QC-002,Determinación de Urea,True,study,espectrofotometria,4,60,plasma,false,240.0
68,ECN-CAT-HEM-002,Determinación de Hemoglobina,True,study,citometria,11,135,blood,false,500.0
69,ECN-CAT-INM-002,Determinación de Factor reumatoide,True,study,elisa,18,180,serum,false,680.0
70,ECN-CAT-MIC-002,Determinación de Coprocultivo,True,study,cultivo,25,840,stool,true,840.0
71,ECN-CAT-COA-002,Determinación de Tiempo de tromboplastina parcial,True,study,coagulometria,2,60,plasma,false,260.0
72,ECN-CAT-END-002,Determinación de Tiroxina libre,True,study,quimioluminiscencia,9,180,plasma,false,500.0
73,ECN-CAT-URO-002,Determinación de Microalbúmina en orina,True,study,microscopia,16,135,urine,false,590.0
74,ECN-CAT-MOL-002,Determinación de Virus de influenza A,True,study,rt-pcr,23,420,swab,true,1060.0
75,ECN-CAT-QC-003,Determinación de Creatinina,True,study,colorimetria,30,150,serum,true,780.0
76,ECN-CAT-HEM-003,Determinación de Hematocrito,True,study,microscopia,7,90,blood,false,290.0
77,ECN-CAT-INM-003,Determinación de Antiestreptolisinas O,True,study,quimioluminiscencia,14,195,serum,false,610.0
78,ECN-CAT-MIC-003,Determinación de Exudado faríngeo,True,study,cultivo,21,810,swab,false,740.0
79,ECN-CAT-COA-003,Determinación de Tiempo de trombina,True,study,coagulometria,28,165,plasma,true,820.0
80,ECN-CAT-END-003,Determinación de Tiroxina total,True,study,elisa,5,135,serum,false,430.0
81,ECN-CAT-URO-003,Determinación de Proteínas en orina,True,study,colorimetria,12,75,urine,false,480.0
82,ECN-CAT-MOL-003,Determinación de Virus de influenza B,True,study,rt-pcr,19,405,swab,true,960.0
83,ECN-CAT-QC-004,Determinación de Ácido úrico,True,study,enzimatico,26,135,plasma,true,680.0
84,ECN-CAT-HEM-004,Determinación de Eritrocitos,True,study,impedancia,3,45,blood,false,260.0
85,ECN-CAT-INM-004,Determinación de Inmunoglobulina A,True,study,inmunoensayo,10,120,serum,false,450.0
86,ECN-CAT-MIC-004,Determinación de Exudado nasal,True,study,cultivo,17,795,swab,true,640.0
87,ECN-CAT-COA-004,Determinación de Fibrinógeno,True,study,coagulometria,24,165,plasma,false,730.0
88,ECN-CAT-END-004,Determinación de Triyodotironina libre,True,study,inmunoensayo,1,75,plasma,false,300.0
89,ECN-CAT-URO-004,Determinación de Glucosa en orina,True,study,tira reactiva,8,60,urine,false,370.0
90,ECN-CAT-MOL-004,Determinación de Virus del papiloma humano,True,study,pcr,15,435,swab,true,830.0
91,ECN-CAT-QC-005,Determinación de Colesterol total,True,study,espectrofotometria,22,135,serum,false,660.0
92,ECN-CAT-HEM-005,Determinación de Leucocitos,True,study,citometria,29,195,blood,true,920.0
93,ECN-CAT-INM-005,Determinación de Inmunoglobulina G,True,study,elisa,6,135,serum,false,380.0
94,ECN-CAT-MIC-005,Determinación de Exudado vaginal,True,study,cultivo,13,780,swab,false,550.0
95,ECN-CAT-COA-005,Determinación de Dímero D,True,study,coagulometria,20,150,plasma,false,680.0
96,ECN-CAT-END-005,Determinación de Triyodotironina total,True,study,quimioluminiscencia,27,240,serum,true,920.0
97,ECN-CAT-URO-005,Determinación de Creatinina en orina,True,study,microscopia,4,90,urine,false,290.0
98,ECN-CAT-MOL-005,Determinación de Virus de hepatitis B,True,study,pcr,11,420,plasma,true,730.0
99,ECN-CAT-QC-006,Determinación de Triglicéridos,True,study,colorimetria,18,105,plasma,false,540.0
100,ECN-CAT-HEM-006,Determinación de Plaquetas,True,study,microscopia,25,165,blood,true,700.0
101,ECN-CAT-INM-006,Determinación de Inmunoglobulina M,True,study,quimioluminiscencia,2,150,serum,false,320.0
102,ECN-CAT-MIC-006,Determinación de Exudado uretral,True,study,cultivo,9,765,swab,false,500.0
103,ECN-CAT-COA-006,Determinación de INR,True,study,coagulometria,16,135,plasma,false,580.0
104,ECN-CAT-END-006,Determinación de Insulina,True,study,elisa,23,195,plasma,false,790.0
105,ECN-CAT-URO-006,Determinación de Calcio en orina,True,study,colorimetria,30,150,urine,true,840.0
106,ECN-CAT-MOL-006,Determinación de Virus de hepatitis C,True,study,pcr,7,405,plasma,true,690.0
107,ECN-CAT-QC-007,Determinación de Bilirrubina total,True,study,enzimatico,14,90,serum,false,430.0
108,ECN-CAT-HEM-007,Determinación de Reticulocitos,True,study,impedancia,21,135,blood,false,630.0
